topo_bm_high,S_creation,net_id,topo_rand_basal,net_type,Int_realised,dyn_rand_basal,C_creation,t_val,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,dyn_bm_high,Int_init,dyn_rand_consumer
0.4807692307692308,52,15,0.14273504273504273,niche_down,0,0.09230769230769231,0.09689349112426035,50,0.3782051282051282,0.09689349112426035,0.4,52,0.09487179487179488,0.121301775147929,0,0.0979020979020979
0.5,52,15,0.1680952380952381,atn,8,0.21153846153846154,0.21486686390532544,50,0.46,0.2324,0.5,50,0.5,0.5,8,0.5
0.34210526315789475,52,15,0.29605263157894735,down,19,0.4807692307692308,0.032914201183431954,50,0.25,0.061634349030470915,0.23684210526315788,38,0.3269230769230769,0.3269230769230769,19,0.34615384615384615
0.4807692307692308,52,16,0.07692307692307693,niche,0,0.07692307692307693,0.1235207100591716,50,0.4423076923076923,0.1235207100591716,0.14316239316239315,52,0.36538461538461536,0.40384615384615385,0,0.38461538461538464
0.43478260869565216,52,16,0.18840579710144928,down_size,23,0.34615384615384615,0.07729289940828403,50,0.45652173913043476,0.09877126654064272,0.20652173913043478,46,0.4423076923076923,0.5,23,0.46153846153846156
0.4230769230769231,52,16,0.13535502958579881,niche_down,69,0.15384615384615385,0.0639792899408284,50,0.5,0.0639792899408284,0.4423076923076923,52,0.1875,0.19230769230769232,64,0.16923076923076924
0.5,52,16,0.1678048780487805,atn,8,0.21153846153846154,0.20340236686390534,50,0.5,0.22,0.5,50,0.5,0.5,8,0.5
0.3076923076923077,52,16,0.16025641025641027,down,53,0.19230769230769232,0.07581360946745562,50,0.4807692307692308,0.07581360946745562,0.36538461538461536,52,0.19230769230769232,0.20192307692307693,54,0.20512820512820512
0.4807692307692308,52,17,0.11538461538461539,niche,0,0.11538461538461539,0.13794378698224852,50,0.4807692307692308,0.13794378698224852,0.16987179487179488,52,0.36538461538461536,0.40384615384615385,0,0.36538461538461536
0.5,52,17,0.12709030100334448,down_size,6,0.15384615384615385,0.1301775147928994,50,0.46153846153846156,0.1301775147928994,0.36538461538461536,52,0.36538461538461536,0.3269230769230769,10,0.38461538461538464
0.5,52,17,0.14536199095022626,niche_down,45,0.09008097165991903,0.12980769230769232,50,0.46153846153846156,0.12980769230769232,0.5,52,0.09935897435897437,0.10256410256410257,45,0.10641025641025642
0.5,52,17,0.1678048780487805,atn,13,0.21153846153846154,0.21227810650887574,50,0.46,0.2296,0.48,50,0.5,0.5,13,0.5
0.4358974358974359,52,17,0.18006993006993008,down,53,0.21153846153846154,0.08284023668639054,50,0.46153846153846156,0.08284023668639054,0.38461538461538464,52,0.3269230769230769,0.28846153846153844,56,0.2692307692307692
0.4807692307692308,52,18,0.15384615384615385,niche,0,0.15384615384615385,0.14829881656804733,50,0.46153846153846156,0.14829881656804733,0.18108974358974358,52,0.4230769230769231,0.40384615384615385,0,0.40384615384615385
0.5,52,18,0.12756410256410255,down_size,6,0.15384615384615385,0.13350591715976332,50,0.46153846153846156,0.13350591715976332,0.36538461538461536,52,0.28846153846153844,0.2692307692307692,10,0.28846153846153844
0.5,52,18,0.14536199095022626,niche_down,46,0.0904977375565611,0.1268491124260355,50,0.5,0.1268491124260355,0.5,52,0.09358974358974359,0.09276018099547512,46,0.2532051282051282
0.5,52,18,0.14837209302325582,atn,7,0.19230769230769232,0.2015532544378698,50,0.48,0.218,0.5,50,0.5,0.5,7,0.5
0.44,52,18,0.172,down,45,0.23076923076923078,0.07766272189349112,50,0.42,0.084,0.24,50,0.2692307692307692,0.2692307692307692,39,0.25
0.4807692307692308,52,19,0.17307692307692307,niche,0,0.17307692307692307,0.14016272189349113,50,0.46153846153846156,0.14016272189349113,0.2403846153846154,52,0.4230769230769231,0.4423076923076923,0,0.5
0.5,52,19,0.14543269230769232,down_size,10,0.15384615384615385,0.12980769230769232,50,0.46153846153846156,0.12980769230769232,0.34615384615384615,52,0.28846153846153844,0.28846153846153844,6,0.25
0.5,52,19,0.14476495726495728,niche_down,48,0.10576923076923078,0.1253698224852071,50,0.5,0.1253698224852071,0.5,52,0.1298076923076923,0.12692307692307692,53,0.1304945054945055
0.5,52,19,0.1668421052631579,atn,9,0.21153846153846154,0.21375739644970415,50,0.46,0.2312,0.5,50,0.5,0.5,9,0.5
0.46,52,19,0.1625,down,52,0.21153846153846154,0.08210059171597633,50,0.48,0.0888,0.3,50,0.16346153846153846,0.28205128205128205,53,0.17307692307692307
0.4471153846153846,52,20,0.20701357466063347,niche,0,0.23076923076923078,0.09245562130177515,50,0.46153846153846156,0.09245562130177515,0.22157190635451507,52,0.4326923076923077,0.4807692307692308,0,0.46153846153846156
0.391304347826087,52,20,0.2450592885375494,down_size,25,0.40384615384615385,0.07544378698224852,50,0.41304347826086957,0.09640831758034027,0.34782608695652173,46,0.4807692307692308,0.5,24,0.4807692307692308
0.48039215686274506,52,20,0.12616099071207432,niche_down,25,0.08936651583710407,0.09134615384615384,50,0.5,0.09496347558631296,0.47549019607843135,51,0.1014957264957265,0.10216346153846155,25,0.09134615384615385
0.5,52,20,0.10857142857142857,atn,10,0.19230769230769232,0.19415680473372782,50,0.48,0.21,0.5,50,0.5,0.5,10,0.5
0.3798076923076923,52,20,0.1778846153846154,down,57,0.21153846153846154,0.08173076923076923,50,0.4230769230769231,0.08173076923076923,0.36538461538461536,52,0.25,0.23076923076923078,56,0.25
