"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Reticularia_cf_lineata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Septospirigerella","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spinomarginifera_sp","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirifer_cf_duplicosta","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirifer_cf_supracarbonicus","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spiriferellina_cristata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spiriferellina_taramellii","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirigera_faba","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirigerella_teseroi","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Spirigerellinae_gen_et_sp_indet","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Teserina_nerii","medium","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Trentingula_lorigae","small","nonmotile_attached","herbivore","shallow_infaunal","3","hemerythrin","buffered"
"Trentingula_mazzinensis","small","nonmotile_attached","herbivore","shallow_infaunal","3","hemerythrin","buffered"
